statement_id,Awareness,Doc_Referral,MH-Referral,Referral,Hotline
bai_18_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_18_1,TRUE,TRUE,FALSE,TRUE,FALSE
bai_18_2,TRUE,TRUE,FALSE,TRUE,FALSE
bai_18_3,TRUE,TRUE,FALSE,TRUE,FALSE
bai_19_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_19_1,TRUE,TRUE,FALSE,TRUE,FALSE
bai_19_2,TRUE,TRUE,FALSE,TRUE,FALSE
bai_19_3,FALSE,TRUE,FALSE,TRUE,FALSE
bai_1_0,TRUE,FALSE,TRUE,TRUE,FALSE
bai_1_1,TRUE,TRUE,FALSE,TRUE,FALSE
bai_1_2,TRUE,TRUE,FALSE,TRUE,FALSE
bai_1_3,TRUE,FALSE,TRUE,TRUE,FALSE
bai_20_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_20_1,TRUE,TRUE,TRUE,TRUE,FALSE
bai_20_2,TRUE,TRUE,FALSE,TRUE,FALSE
bai_20_3,FALSE,FALSE,TRUE,TRUE,FALSE
bai_21_0,TRUE,TRUE,FALSE,TRUE,FALSE
bai_21_1,TRUE,TRUE,TRUE,TRUE,FALSE
bai_21_2,TRUE,FALSE,TRUE,TRUE,FALSE
bai_21_3,TRUE,FALSE,TRUE,TRUE,FALSE
bai_2_0,FALSE,TRUE,FALSE,TRUE,FALSE
bai_2_1,TRUE,TRUE,FALSE,TRUE,FALSE
bai_2_2,FALSE,TRUE,FALSE,TRUE,FALSE
bai_2_3,TRUE,TRUE,FALSE,TRUE,FALSE
bai_3_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_3_1,TRUE,TRUE,FALSE,TRUE,FALSE
bai_3_2,TRUE,TRUE,FALSE,TRUE,FALSE
bai_3_3,TRUE,TRUE,FALSE,TRUE,FALSE
bai_4_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_4_1,FALSE,TRUE,TRUE,TRUE,FALSE
bai_4_2,TRUE,FALSE,TRUE,TRUE,FALSE
bai_4_3,TRUE,FALSE,TRUE,TRUE,FALSE
bai_5_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_5_1,TRUE,FALSE,TRUE,TRUE,FALSE
bai_5_2,TRUE,FALSE,TRUE,TRUE,FALSE
bai_5_3,TRUE,FALSE,TRUE,TRUE,FALSE
bai_6_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_6_1,TRUE,TRUE,TRUE,TRUE,FALSE
bai_6_2,TRUE,TRUE,FALSE,TRUE,FALSE
bai_6_3,TRUE,TRUE,FALSE,TRUE,FALSE
bai_7_0,TRUE,TRUE,FALSE,TRUE,FALSE
bai_7_1,TRUE,TRUE,FALSE,TRUE,FALSE
bai_7_2,TRUE,TRUE,FALSE,TRUE,FALSE
bai_7_3,TRUE,TRUE,FALSE,TRUE,FALSE
bai_8_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_8_1,TRUE,FALSE,FALSE,FALSE,FALSE
bai_8_2,TRUE,FALSE,TRUE,TRUE,FALSE
bai_8_3,TRUE,FALSE,TRUE,TRUE,FALSE
bai_9_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_9_1,TRUE,FALSE,TRUE,TRUE,FALSE
bai_9_2,TRUE,TRUE,TRUE,TRUE,FALSE
bai_9_3,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_10_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_10_1,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_10_2,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_10_3,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_11_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_11_1,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_11_2,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_11_3,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_12_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_12_1,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_12_2,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_12_3,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_13_0,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_13_1,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_13_2,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_13_3,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_14_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_14_1,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_14_2,TRUE,FALSE,TRUE,TRUE,TRUE
bdi_14_3,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_15_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_15_1,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_15_2,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_15_3,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_16_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_16_1,TRUE,TRUE,FALSE,TRUE,FALSE
bdi_16_2,TRUE,TRUE,FALSE,TRUE,FALSE
bdi_16_3,TRUE,TRUE,FALSE,TRUE,FALSE
bdi_17_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_17_1,TRUE,TRUE,TRUE,TRUE,FALSE
bdi_17_2,TRUE,TRUE,FALSE,TRUE,FALSE
bdi_17_3,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_18_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_18_1,TRUE,TRUE,FALSE,TRUE,FALSE
bdi_18_2,TRUE,TRUE,FALSE,TRUE,FALSE
bdi_18_3,TRUE,TRUE,FALSE,TRUE,FALSE
bdi_19_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_19_1,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_19_2,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_19_3,FALSE,TRUE,FALSE,TRUE,FALSE
bdi_1_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_1_1,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_1_2,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_1_3,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_20_0,FALSE,TRUE,FALSE,TRUE,FALSE
bdi_20_1,TRUE,TRUE,FALSE,TRUE,FALSE
bdi_20_2,TRUE,TRUE,FALSE,TRUE,FALSE
bdi_20_3,TRUE,TRUE,FALSE,TRUE,FALSE
bdi_21_0,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_21_1,TRUE,TRUE,TRUE,TRUE,FALSE
bdi_21_2,TRUE,TRUE,TRUE,TRUE,FALSE
bdi_21_3,TRUE,TRUE,TRUE,TRUE,FALSE
bdi_2_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_2_1,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_2_2,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_2_3,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_3_0,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_3_1,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_3_2,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_3_3,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_4_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_4_1,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_4_2,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_4_3,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_5_0,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_5_1,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_5_2,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_5_3,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_6_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_6_1,TRUE,TRUE,TRUE,TRUE,FALSE
bdi_6_2,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_6_3,TRUE,FALSE,FALSE,FALSE,FALSE
bdi_7_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_7_1,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_7_2,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_7_3,FALSE,FALSE,TRUE,TRUE,FALSE
bdi_8_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_8_1,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_8_2,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_8_3,TRUE,FALSE,TRUE,TRUE,FALSE
bdi_9_0,FALSE,FALSE,FALSE,FALSE,FALSE
bdi_9_1,TRUE,FALSE,TRUE,TRUE,TRUE
bdi_9_2,TRUE,FALSE,TRUE,TRUE,TRUE
bdi_9_3,TRUE,FALSE,TRUE,TRUE,TRUE
