prompt_id,symptom,severity,original_text,rephrase_1,rephrase_2,rephrase_3,rephrase_4,rephrase_5
bai_5_2,Fear worst,2,This month I've had a moderate fear of the worst happening and it wasn't pleasant at times,I sometimes fear the worst happening and I dislike it,I worry a lot that bad things will happen to me,Pretty often my mind gets stuck on the worst thing that could happen,My mind plays out the worst case scenario in a lot of situations,I frequently worry something bad might happen to me
bai_5_3,Fear worst,3,This month I've had a severe fear of the worst happening and it has bothered me a lot,I fear the worst in a lot of situations and it concerns me,I'm always worried that bad things are going to happen to me,"My mind always goes straight to the worst thing possible, its exhausting",My mind always gets stuck on the worst case scenario no matter what I do,I'm always worrying something terrible will happen to me and it's overwhelming
bai_6_0,Dizzy,0,This month I haven't felt dizzy,I'm glad I don't ever feel dizzy,I'm glad my head feels good,My head's been feeling good lately,My head feels just like usual,My head feels normal
bai_6_1,Dizzy,1,This month I have felt mildly dizzy but it hasn't bothered me much,My head has felt dizzy more often than usual lately but it doesn't last long,Every once in a while I get a dizzy spell but they're not a big deal to me,My head sometimes feels like it's spinning but I can usually get it under control,Sometimes I feel a little lightheaded but it usually passes before too long,My head feels strange sometimes but I don't pay much attention to it
bai_6_2,Dizzy,2,This month I have felt moderately dizzy and it wasn't pleasant at times,My head has been feeling dizzy a lot recently,I have dizzy spells and I don't like how they feel,My head has been feeling like it's spinning out of the blue sometimes,I've noticed that I'm starting to feel lightheaded sporadically,My head feels strange more than I'd like
bai_6_3,Dizzy,3,This month I have felt severely dizzy and it has bothered me a lot,My head has felt really dizzy recently and it's stopping me from getting things done,I have really bad dizzy spells for no reason and it is very unsettling for me,I'm getting worried because my head feels like it's spinning a lot,I've felt lightheaded a lot this month and it feels out of the norm,My head feels strange all the time now and it annoys me
bai_7_0,Heart pounding,0,This month I haven't felt my heart racing,I know how to keep my body relaxed,I don't ever hold stress in my body,I have a strong heartbeat,I always feed strong physically,My heart beats fast when I'm running
bai_7_1,Heart pounding,1,This month I have had mild feelings of my heart racing but it hasn't bothered me much,I sometimes feel my heart beat loudly but I can usually calm down,"Every once in a while I hear my heartbeat in my ears for a bit, but I'm not worried about it",Yesterday I felt my heart beat loud in my chest but it went away before too long,My heart races sometimes but I've learned how to deal with it,My heart occasionally beats fast for no reason but it doesn't bug me
bai_7_2,Heart pounding,2,This month I have had moderate feelings of my heart racing and it wasn't pleasant at times,I sometimes feel my heart pounding and don't know what to do,Recently I've been hearing my heartbeat in my ears and it can be uncomfortable,"More often lately, my heart has been beating hard in my chest",My heart has been racing more than usual and it's a bit concerning,My heart has started beating fast for no reason
bai_7_3,Heart pounding,3,This month I have had severe feelings of my heart racing and it has bothered me a lot,I often feel my heart pounding without any reason and I hate it,Almost everyday I have a moment when I hear my heart beating fast in my ears and I'm getting really worried about it,"Too often, it feels like my heart is going to beat out of my chest and I really don't like how it feels",I'm alarmed because my heart has been racing all the time,My heart beats fast all the time for no reason and it makes everything worse for me
bai_8_0,Unsteady,0,This month I haven't felt unsteady,My life feels under control,I know how to stay grounded when work gets hard,If something goes wrong I deal with it one step at a time,Everything feels in balance,I'm a stable person
bai_8_1,Unsteady,1,This month I have felt mildly unsteady but it hasn't bothered me much,My life can seem unsteady to me but the feeling usually passes,My work can make me feel unsteady sometimes but I think I can get through it,If something goes wrong I feel unsteady at first,Things feel a little out of balance to me but I'm mostly okay,I think I might be a bit unstable but I'm trying to manage it
bai_8_2,Unsteady,2,This month I have felt moderately unsteady and it wasn't pleasant at times,My life feels unsteady to me,My work makes me feel unsteady a lot of the time,If something goes wrong I feel unsteady for a while,Things feel like they've been out of balance to me,I feel like I might be an unstable person
bai_8_3,Unsteady,3,This month I have felt severely unsteady and it has bothered me a lot,Everything about my life feels completely unsteady to me,My work always makes me feel unsteady,If something goes wrong I feel unsteady for a long time and nothing I've tried has changed that,It feels like everything is out of balance for me and it's overwhelming,I know I'm unstable and it's messing up my relationships with others
bai_9_0,Terrified,0,This month I haven't felt terror,I don't ever feel terrified,I'm not afraid of much,I was afraid at night when I was a kid but I'm definitely not now,I would describe myself as pretty brave,I know how to face my fears
bai_9_1,Terrified,1,This month I have felt mildly terrified but it hasn't bothered me much,Sometimes I feel terrified but it usually passes quickly,I felt a moment of fear once or twice last week but I got through it,Every once in a while I feel scared at night but it doesn't affect me that much,I sometimes feel a sense of fright but I've learned to live with it,A little bit of terror can come over me from time to time but I don't think it's out of the ordinary
bai_9_2,Terrified,2,This month I have felt moderately terrified and it wasn't pleasant at times,Sometimes I feel terrified and I don't know why,I've been feeling fearful more and more often the past few weeks,I sometimes feel scared at night but it goes away eventually,Sometimes I have a frightened feeling in the background during my day,I feel terror come over me sometimes
bai_9_3,Terrified,3,This month I have felt severely terrified and it has bothered me a lot,I often feel terrified for no reason and it's really concerning me,I've been feeling fearful a lot of the time and it's become a big problem for me,I have felt scared every night for a long time now,I've had this background feeling of being frightened in my life for a long time now,I've been feeling terror come over me more than feels normal and I'm concerned for myself
bai_10_0,Nervous,0,This month I haven't felt nervous,I feel pretty chill most of the time,I've felt relaxed this week,I know how to handle being nervous,I'm great at grappling with my nerves,I know how to deal with stress
bai_10_1,Nervous,1,This month I have felt mildly nervous but it hasn't bothered me much,I feel on edge a bit more than usual this week but I'm getting through it,I feel agitated sometimes,It would be nice if I was nervous a little less,Sometimes my nerves get the best of me but I usually know how to deal with them,I feel like I'm in fight or flight at times but I know how to snap out of it
bai_10_2,Nervous,2,This month I have felt moderately nervous and it wasn't pleasant at times,I feel on edge more often than I'd like,I've been feeling agitated somedays,I wish I didn't so nervous sometimes,I have a hard time keeping my nerves under control,I feel like I'm in fight or flight more often recently
bai_10_3,Nervous,3,This month I have felt severely nervous and it has bothered me alot,I feel on edge everyday and it's really getting to me,I've been feeling agitated all the time now and I want it to stop,I really wish I didn't always get so nervous for no reason,My nerves have really been getting to me and it feels uncontrollable,I always feel like I'm in fight or flight and I can't calm myself down
bai_11_0,Feeling of choking,0,This month I haven't had a feeling of choking,My throat feels normal,I never feel physical symptoms from stress because I'm in tune with my body,My throat was a bit sore but it's all better now after I got some rest,It's easy for me to swallow,My body's felt like usual this week
bai_11_1,Feeling of choking,1,This month I have had a mild feeling of choking but it hasn't bothered me much,When I'm stressed my throat feels tight sometimes,One time recently stress made me feel like I was choking but it didn't last long,My throat feels tight sometimes but it doesn't worry me much,Before important meetings it can be hard for me to swallow but I'm used to it now,"Yesterday I had a weird feeling a little bit like I was choking even though I wasn't, but I haven't thought much of it"
bai_11_2,Feeling of choking,2,This month I have had a moderate feeling of choking and it wasn't pleasant at times,When I'm stressed my throat usually feels tight and it doesn't feel great,Sometimes when I'm stressed out I feel like I'm choking,My throat has started feeling tight often,Before important meetings it's often hard for me to swallow,Sometimes I get this weird feeling like I'm choking even though I'm not
bai_11_3,Feeling of choking,3,This month I have had a severe feeling of choking and it has bothered me a lot,Everytime I'm stressed my throat feels tight and I feel helpless,Too often when I'm stressed out I feel like I'm choking and it troubles me,My throat feels tight a lot of the time and I'm getting really concerned by it,Before important meetings I usually find it really hard to swallow and it makes everything harder,I often feel like I'm choking even though I'm not and it makes me panic
bai_12_0,Hands trembling,0,This month my hands haven't been trembling,I can keep my hands still without a problem,My hands are always steady,I have steady handwriting,My hands stay calm,My hands feel strong
bai_12_1,Hands trembling,1,This month my hands have trembled mildly but it hasn't bothered me much,Sometimes I realize my hands are shaking during the day but I can get it under control,My friends noticed that my hands tremble sometimes but I told them I have strategies to get through it,It's hard to write by hand sometimes because my hands shake a lot,My hands have little tremors when I'm stressed but I don't think it's that out of the ordinary,If I get worked up my hands sometimes feel a little unsteady but I don't mind much
bai_12_2,Hands trembling,2,This month my hands have trembled moderately and it hasn't been pleasant at times,Sometimes I realize my hands are shaking during the day and I get a little concerned,My friends noticed that my hands tremble sometimes and now I feel embarrassed,I've been having trouble writing by hand lately because my hands are shaky,My hands on occasion have tremors when I get stressed out,If I get worked up my hands usually start to feel unsteady
bai_12_3,Hands trembling,3,This month my hands have trembled severely and it has bothered me a lot,I often realize my hands are shaking during the day it's been frustrating me a lot,My friends noticed that my hands tremble sometimes and it's made me realize how much it is effecting me,I hate writing by hand because my hands shake a lot it has become a big problem for me,My hands always have tremors when I'm stressed and none of the things I've tried have really fixed it,When I'm worked up my hands always feel unsteady and it's really upsetting
bai_13_0,Shaky,0,This month I have felt steady,I can always keep my body calm,I'm doing great at keeping my body relaxed,My body feels relaxed,Stress doesn't change how my body feels at all,This week my body has been feeling under control
bai_13_1,Shaky,1,This month I have felt mildly shaky but it hasn't bothered me much,I feel shaky at work sometimes but it usually goes away,I caught myself shaking recently but I got it under control pretty easily,My body felt jittery once this week but I didn't let it worry me,"Sometimes I notice I twitch a little bit, but only when I'm really stressed, usually I'm fine",This week there was a moment when my body shook a little bit but I got through it
bai_13_2,Shaky,2,This month I have felt moderately shaky and it hasn't been pleasant,I feel shaky at work a good amount of the time and it's started to get on my nerves,I sometimes catch myself shaking and it scares me,My body's been feeling jittery this week,I notice that I twitch whenever I'm stressed,This week my body shook for a while but I got it to stop
bai_13_3,Shaky,3,This month I have felt severely shaky and it has bothered me a lot,I feel shaky at work all of the time and nothing I try makes it better,I often catch myself shaking uncontrollably and I'm worried about it,My body has felt really jittery all week and I can't control it,I notice that I twitch a lot whenever I feel any stress and I have a tough time getting my body to be still,This week my whole body shook uncontrollably and I feel helpless
bai_14_0,Fear of losing control,0,This month I have felt in control,I know I can face the unexpected,I can deal with things turning out different than I want,Sometimes things won't go my way but I'm okay with it,I do okay when I'm not in control,I can deal with not knowing everything about my future
bai_14_1,Fear of losing control,1,This month I have had a mild fear of losing control but it hasn't bothered me much,The unexpected can scare me sometimes,Recently I've sometimes worried things won't go the way I want them to,I'm a little uneasy at the thought that I won't be able to make things go the way I want them to but I can handle it,I get stressed sometimes when I feel like I don't have control,I can get restless when my future feels uncertain but I believe everything will be okay
bai_14_2,Fear of losing control,2,This month I have had a moderate fear of losing control and it hasn't been pleasant at times,The unexpected scares me a lot more than I'd like,Recently I've been very worried that things won't go the way I want them to,I feel uneasy at the thought that I won't be able to make things go the way I need them to,I usually get stressed when I'm not in control,I often get restless when my future feels uncertain
bai_14_3,Fear of losing control,3,This month I have had a severe fear of losing control and it has bothered me a lot,The unexpected scares me so much I freeze up,Recently I've been consumed with worry that things won't go the way I want them to and it's all I think about,I tend to feel very uneasy that I won't be able to make things go the way I need them to and my mind gets stuck on it a lot,I always get really stressed when I don't have control,I get extremely restless when my future feels uncertain and I wish the feeling would go away
bai_15_0,Difficulty breathing,0,This month I have been breathing well,When things get challenging I take deep breaths and it helps,I've been breathing well,I'm good at taking deep breaths,I can control my breathing easily,Breathing helps me to get through hard things
bai_15_1,Difficulty breathing,1,This month I have experienced mild difficulty breathing but it hasn't bothered me much,When things are challenging it can get harder to breathe sometimes but I know how to calm myself down,My breathing has felt a little shallow but when I just remind myself to be present I feel better,It can be hard for me to take deep breaths but I'm learning,My breathing is sometimes hard to control when I'm stressed out but I can deal with it,Sometimes my breathing feels a bit off when I'm dealing with something hard
bai_15_2,Difficulty breathing,2,This month I have experienced moderate difficulty breathing and it hasn't been pleasant at times,When things are challenging it gets harder to breath and I wish I wasn't like that,My breathing has felt shallow,It's hard for me to take deep breaths usually,I struggle to control my breathing when I'm stressed out,Often it gets tougher to breathe normally when I'm dealing with something hard
bai_15_3,Difficulty breathing,3,This month I have experienced severe difficulty breathing and it has bothered me a lot,When things are challenging it's hard for me to breathe and it makes me panic,My breathing feels shallow most of the time and it makes me concerned,I can never take deep breaths when I need to so my chest feels tight,I can't ever control my breathing when I'm stressed out and I think it's a problem,It always gets tough to breathe when I'm dealing with something hard
bai_16_0,Fear of dying,0,This month I haven't been afraid of dying,I don't dwell on concerns about the future,I understand that death is part of being human and I'm at peace with that,Instead of worrying about bad things in the future I stay focused on the present,I don't spend time thinking about my fears of the future,I don't usually think much about things that scare me
bai_16_1,Fear of dying,1,This month I have been mildly afraid of dying but it hasn't bothered me much,I get worried about dying from time to time but I can usually redirect myself,Realizing that we all die is scary but I can deal with it,I find myself being afraid of the end sometimes but I can refocus on the present without too much trouble,Sometimes I get scared I'll get terminal cancer but I've realized that's a fear most people have faced,Every once in a while the thought of dying keeps me up at night
bai_16_2,Fear of dying,2,This month I have been moderately afraid of dying and it hasn't been pleasant at times,I get worried about dying often,Realizing that we all die has shaken me a bit,I find myself being afraid of the end a lot and I wish I didn't let my mind go there,I'm scared I'll get terminal cancer and I think about it a lot,The thought of dying keeps me up at night too often
bai_16_3,Fear of dying,3,This month I have been severely afraid of dying and it has bothered me a lot,I worry about dying all the time and it can feel paralyzing,Realizing that we all die has really scared me and it's all I think about,I find myself being afraid of the end all the time and it's become draining,I'm scared I'll get terminal cancer and I can't stop obsessing over it,The thought of dying keeps me up at every night and nothing I've tried can get my mind off it
bai_17_0,Scared,0,This month I haven't been scared by anything,When things get hard I face them bravely,I'm confident I will stay on top of all the little things,I'm brave when I face hard things in life,I feel I can face stressful situations with courage,When there's a lot going on I have the confidence to manage everything
bai_17_1,Scared,1,This month I have been mildly scared by things but it hasn't bothered me much,When things get hard I get a little scared sometimes,Lately I've gotten a bit scared by little things but it's not a big deal,I sometimes feel frightened about things in my life,I get a little scared in stressful situations sometimes,When there's a lot going on some things scare me a bit more but I can deal with it
bai_17_2,Scared,2,This month I have been moderately scared by things and it hasn't been pleasant at times,When things get hard I usually feel scared,Lately I've been scared by little things,I feel frightened about a lot of things in my life,I often get scared in addition to being stressed about situations,When there's a lot going on I get scared by it
bai_17_3,Scared,3,This month I have been severely scared by things and it has bothered me a lot,When things get hard I feel really scared and it stops me from moving forward,Lately I've been really scared by little things and I think there's something wrong with me,I feel like I'm frightened by everything in my life these days it feels debilitating,Situations that used to make me stressed just scare me now,When there's a lot going on I get scared really easily by it all
bai_18_0,Indigestion,0,This month I have had good digestion,My tummy has felt good lately,My stomach feels fine,I've been digesting food well,My food has settled well lately,My stomach's been feeling great
bai_18_1,Indigestion,1,This month I have had mild digestion problems but it hasn't bothered me much,I've had some tummy issues lately but it's not out of the normal,My stomach hurts from time to time but I'm not worried,I'm haven't been digesting food the best but I can get through it,My food hasn't always settled great with me lately but overall I'm fine,Sometimes recently I've felt my food in my stomach for a while but it's not really that bad
bai_18_2,Indigestion,2,This month I have had moderate digestion problems and it hasn't been pleasant at times,I've been having more tummy issues than usual lately,Several times in the past few days my stomach has been hurting,I haven't been digesting food well this past week,My food hasn't been settling well with me as of late,Recently food has felt like it's sitting in my stomach
bai_18_3,Indigestion,3,This month I have had severe digestion problems and it has bothered me a lot,I've been having bad tummy issues lately and it's pretty uncomfortable,My stomach has been hurting all the time lately and I wish it would stop,I have had big problems digesting my food this past week and it's really disruptive,My food hasn't settled well with me at all lately and I'm getting worried about it,Food feels like it just sits in my stomach recently and it really causes me discomfort
bai_19_0,Faint,0,This month I haven't felt faint,I've felt strong this week,I know how keep up a good energy when I get worried,My body feels strong,I have a good level of energy,I know I can face stressful things
bai_19_1,Faint,1,This month I have felt mildly faint but it hasn't bothered me much,I've felt a little like I'm going to faint this week but I got through it,My body feels tired when I'm nervous but the feeling doesn't last long,My body feels weak sometimes but it's not really a problem,I've felt faint a time or two this month but I don't think it's out of the ordinary,Stressful things occasionally make my body feel faint but I recover quick
bai_19_2,Faint,2,This month I have felt moderately faint and it hasn't been pleasant at times,I've felt like I'm going to faint a few times this week,Sometimes my body feels tired when I'm nervous,My body feels weak a lot lately,I feel faint sometimes,Stressful things can make my body feel faint
bai_19_3,Faint,3,This month I have felt severely faint and it has bothered me a lot,I've been feeling like I'm going to faint every day this week and it's alarming to me,My body always feels tired when I get nervous and I'm worried about it,It seems like my body feels weak so often and it's starting to get to me,I feel faint way all the time now and I'm scared I'll pass out,Stressful things usually make my body to feel faint and it really gets in the way of my success
bai_20_0,Face flushed,0,This month my face hasn't felt flushed,My face feels like normal,My friends say my face looks good,I have natural rosy cheeks,My face feels fine,My face is relaxed
bai_20_1,Face flushed,1,This month my face has felt mildly flushed but it hasn't bothered me much,My face feels hot sometimes during the day but I barely notice it,My friends have noticed my cheeks get red more than other people,Sometimes my cheeks feel warm when I'm dealing with something hard but it's not that bad,My face gets flushed every once in a while but it doesn't usually annoy me,Stress makes my face red once in a while but it's not a typical thing for me
bai_20_2,Face flushed,2,This month my face has felt moderately flushed and it hasn't been pleasant at times,My face keeps feeling hot during the day and it's getting annoying,"My friends have noticed my cheeks get red a lot, usually when I'm feeling off",My cheeks get hot when I'm dealing with something hard,My face gets flushed a few times a week,Stress can make my face red and hot sometimes
bai_20_3,Face flushed,3,This month my face has felt severely flushed and it has bothered me a lot,My face feels hot all the time during the day and it really makes me insecure,My friends have noticed my cheeks get red all the time when I feel off and I get self-conscious about it,My cheeks get really hot when I'm dealing with something hard and I find it very frustrating,My face gets super flushed at least once every day and I wish I could keep it under control,Everytime I get stressed my face gets red and hot
bai_21_0,Sweating,0,This month I haven't sweat more than usual,I've been sleeping well because I made my room the right temperature,I don't get sweaty at work,I'm not a very sweaty person,I get sweaty when it's hot out,I don't sweat any more than everyone else
bai_21_1,Sweating,1,This month I have had mild cold sweats but it hasn't bothered me much,I wake up sweating every once in a while but it isn't too bad,Sometimes I sweat through my shirt at work,Every now and then when I worry I start to sweat but I'm mostly okay,"In the last week I've sweat more than usual even when it's not hot, but it's easy to treat",People sometimes tell me I'm sweaty but I don't have much of a problem with it
bai_21_2,Sweating,2,This month I have had moderate cold sweats and it hasn't been pleasant at times,I've been waking up sweating a few times a week and it's been frustrating me,I sweat through my shirt at work a lot,When I worry I sometimes break out in a cold sweat,In the last week I've found myself sweating even when it's not hot,People have told me recently I sweat more than others
bai_21_3,Sweating,3,This month I have had severe cold sweats and it has bothered me a lot,I wake up sweating every night and it's driving me crazy,I sweat through my shirt at work everyday no matter what I do,Everytime I get worried I break out in a cold sweat,In the last week I've been sweating a lot even when it's not hot and I can't keep my body cool,People have started asking why I'm always sweating and I wish I could stop it from happening
